id;user_id;total_price;order_status;payment_status;created_date
1;8620;31152.13;luck encouragement strait;nor phooey;2025-02-11T05:02:26
2;32308;7542.14;consequently thrifty;upright;2025-02-10T14:30:21
3;24712;12134.18;carefully up utterly;round;2025-02-11T02:23:04
4;17200;16283.49;whether once horn;toward ew unlike;2025-02-11T13:06:22
5;31123;7517.73;whether;nor;2025-02-11T14:16:25
6;9850;24093.02;shrilly;fluff futon;2025-02-11T14:08:09
7;15401;9024.72;which until dramatic;volleyball reproachfully;2025-02-11T09:12:51
8;25689;180.7;assured justly;psst wherever;2025-02-10T18:27:25
9;8830;21643.14;slide minus fishery;when whether;2025-02-11T07:44:41
10;20125;26491.7;gosh meh quicker;rigid;2025-02-10T20:05:39
